1,2,3,4,5,6,7,8,9,10
[O:1]-[C:2]>>[O:1].I-[C:2]_10_00_00,[c:1]:[n:2]:[c:3]:[n:4]>>C-C-O-[C:1].[N:2]=[C:3]\[N:4]_0100_0000_0000,[C:1]-[C:3]-[N:2]>>[C:1].[N:2].O=[C:3]_010_-100_000,[c:2]1:[c:1]:[n:5]:[c:4]:[n:3]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[N:5]_10200_00000_00000,[C:2]-[O:4]-[C:3]-[O:1]>>[O:1].O-[C:2].[C:3]=[O:4]_1000_0000_0000,[S:1]>>C-C(=O)-[S:1]_-1_0_0,[C:1]-[O:2]>>C-C(-C)-O-[C:1]=[O:2]_-2-1_00_00,[n:1]-[O:2]>>[n:1].Cl-c1:c:c:c:c(-C(=O)-O-[O:2]):c:1_01_-11_00,[C:1]>>Cl-[C:1]_-1_0_0,[C:2]-[C:3]-[O:1]>>[O:1].[C:2]=[C:3]_1-10_000_000
[n:1]-[C:2]>>[n:1].I-[C:2]_10_00_00,[N:1]-[S:2]>>[N:1].Cl-[S:2]_10_00_00,[C:1]-[C:3]-[N:2]>>[C:1].[N:2].O=[C:3]_110_000_000,[c:1]:[c:3]:[c:4]:[c:5]:[n:2]>>[c:1].[N:2].C-C-O-[C:3]-[C:4]-[C:5]=O_11010_00000_00000,[N:1]-[C:2]>>[N:1].C-O-[C:2]_10_00_00,[N:1]>>O=C(-[N:1])-O-C-c1:c:c:c:c:c:1_-1_0_0,[C:1]1-[C:2]-[C:3]-[C:4]-[N:5]-[C:6]-1>>[c:1]1:[c:2]:[c:3]:[c:4]:[n:5]:[c:6]:1_-1-1-1-1-1-1_000000_000000,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_00,[C:1]-[N:2]>>O=C(-[C:1])-[N:2]_00_00_00,[Br:1]-[C:2]-[C:3]>>[Br:1].[C:2]=[C:3]_10-1_000_000
[c:1]:[n:2]:[c:3]:[n:4]>>O=[C:1].[N:2]\[C:3]=[N:4]_0200_0000_0000,[N:1]-[C:2]>>[N:1].C-C-C-O-[C:2]_10_00_00,[c:1]-[c:2]>>I-[c:1].C-C(-C)-O-B(-[c:2])-O-C(-C)-C_00_00_00,[c:1]:[c:2]>>[C:1].O=[C:2]_20_00_00,[O:1]-[C:2]>>[O:1].Br-[C:2]_10_00_00,[N:1]>>C-C(=O)-[N:1]_-1_0_0,[C:1]-[N:2]>>[C:1]#[N:2]_-2-2_00_00,[c:3]:[c:4].[c:1]=[O:2]>>[C:1]-[O:2].[C:3]=[C:4]_1100_0000_0000,[N:1]>>N-[N:1]_-1_0_0,[C:1]-[Br:2]>>[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00
[n:1]-[c:2]>>[n:1].O-B(-O)-[c:2]_10_00_00,[N:1]-[C:2]>>[N:1].C-C(-C)(-C-O-[C:2])-N-S(=O)(=O)-C(-F)(-F)-F_10_00_00,[C:1]-[c:2]>>Br-[C:1].O-B(-O)-[c:2]_00_00_00,[c:1]1:[c:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].C-[Si](-C)(-C)-[N:3]=[N:4]=[N:5]_0000-1_0001-1_00000,[N:1]-[C:2]>>[N:1].Cl-[C:2]_10_00_00,[O:1]>>C-C(-C)-[Si](-[O:1])(-C(-C)-C)-C(-C)-C_-1_0_0,[O:1].[C:2]-[O:3]>>[O:1]-[C:2]=[O:3]_-1-2-1_000_000,[C:1]=[O:2]>>Br-[C:1].C-[N+](-C)(-C)-[O:2]_10_0-1_00,[C:1]-[Cl:2]>>O-[C:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_00,[C:2]-[C:3]-[Cl:1]>>[Cl:1].[C:2]=[C:3]_1-10_000_000
[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_01,[n:1]-[C:2]-[N:3]>>[n:1].[C:2]=[N:3]_10-1_000_000,[c:1]-[C:2]>>Br-[c:1].C-C-[Sn](-[C:2])(-C-C)-C-C_00_00_00,[c:5]1:[c:4]:[n:1]:[c:2]:[n:3]:[c:6]:1>>[N:1]-[C:2]=[N:3].O=[C:4]-[C:5]-[C:6]=O_201010_000000_000000,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_20_10_00,[C:9]-[C:3](-[N:7])-[C:5]-[C:11].[C:1]-[C:10]-[C:8](-[N:4])-[C:2]-[C:6]>>[C:1]-[C:2]-[C:3](-[N:4])-[C:5]-[C:6].C-C(-C)(-C)-O-C(=O)-[N:7]-[C:8](-[C:9])-[C:10]-[C:11]_000000-10000_00000000000_00000001000,[O:1]>>Cl-C-C(=O)-[O:1]_-1_0_0,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_10,[c:1]-[Cl:2]>>O-[c:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_00,[Cl:1]-[C:3]-[C:4]-[Cl:2]>>[Cl:1]-[Cl:2].[C:3]=[C:4]_0000_0000_0000
[N:1]-[C:2]>>[N:1].O=[C:2]_1-1_00_00,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,[c:1]:[c:2]>>[C:1].O=[C:2]_20_00_00,[c:2]:[n:4]:[c:3]:[n:1]>>[N:1].C-C-O-[C:2].O=[C:3]-[N:4]_2001_0000_0000,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_00,[O:1]>>C-O-c1:c:c:c(-C-[O:1]):c:c:1_-1_0_0,[O:1]>>C-C-C-C-C-C-C-O-c1:c:c:c(-C(=O)-[O:1]):c:c:1_-1_0_0,[O:1]>>O-[O:1]_-1_0_0,[N:1]-[C:2]>>[N:1].Cl-[C:2]_00_-10_00,
[c:1]:[s:2]:[c:3]:[c:4]>>Cl-[c:1].[S:2]-[C:3]=[C:4]_0100_0000_0000,[N:1]-[C:2]>>[N:1].C-C-O-C(=O)-O-[C:2]_10_00_00,[c:1]-[c:2]>>Br-[c:1].C-C(-C)-O-B(-[c:2])-O-C(-C)-C_00_00_00,[c:2]1:[c:1]:[n:5]:[c:4]:[n:3]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[N:5]_10101_00000_00000,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_10_00_00,[n:1]>>C-C(=O)-[n:1]_-1_0_0,[O:1]-[C:2]>>[O:1]=[C:2]-O-C-c1:c:c:c:c:c:1_-1-2_00_00,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_20,[C:1]>>F-[C:1]_-1_0_1,
[N:1]-[C:2]>>[N:1].Cl-[C:2]_00_-10_00,[N:1]-[C:2]>>[N:1].O-[C:2]_20_10_00,[c:1]-[c:2]>>Cl-[c:1].I-[c:2]_00_00_00,[c:1]:[c:4]:[c:3]:[n:2]>>[c:1].N-[N:2].O=[C:3]-[C:4]_1002_0000_0000,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C(=O)-O-[C:2]_10_00_00,[S:1]>>C-C1(-C(=O)-[S:1])-C-C-C-C-C-1_-1_0_0,[O:1]>>Br-C-C-C-C-C(=O)-[O:1]_-1_0_0,[O:2]-[N:1]=[O:3]>>[N:1].[O:2]-[O:3]_211_-110_000,[c:1]-[B:2]>>Br-[c:1].C-C1(-C)-O-B(-[B:2])-O-C-1(-C)-C_00_00_00,
[n:1]-[C:2]>>[n:1].O-[C:2]_10_00_00,[N:1]-[C:2]>>[N:1].O=C(-O-[C:2])-O-C-c1:c:c:c:c:c:1_10_00_00,[c:1]-[c:2]>>Cl-[c:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,[C:2]1-[C:3]-[O:1]-1>>O-[O:1].[C:2]=[C:3]_100_000_000,[S:1]-[C:3]-[S:2]>>[S:1].[S:2].O=[C:3]_110_000_000,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-2_-1_0,[O:1]>>C-C(-C)(-C)-C(=O)-[O:1]_-1_0_0,[S:1]=[O:2]>>[S:1].O=C-O-[O:2]_01_00_00,[C:1]>>O-[C:1]_-1_0_0,
[Sn:1]-[C:2]=[C:3]>>[Sn:1].[C:2]#[C:3]_10-1_000_000,[N:1]-[C:2]>>[N:1].C-C(=O)-O-[C:2]_10_00_00,[c:1]-[C:2]>>Br-[c:1].C-[Sn](-C)(-C)-[C:2]_00_00_00,[c:1]:[n:3]:[n:4]:[c:2]>>F-[c:1].O=[C:2].[N:3]-[N:4]_0012_0000_0000,[n:1]-[C:2]>>[n:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_10_00_00,[N:1]>>F-C(-F)(-F)-C(=O)-[N:1]_-1_0_0,[C:1]-[N:2]>>[c:1]:[n:2]_-1-1_00_00,[n:1]-[O:2]>>[n:1].C-C(=O)-O-[O:2]_01_-11_00,[C:1]-[C:2]>>I-[C:1].[C:2]-[Cu]_00_00_00,
